Metric,Average,Std
faithfulness,0.9,0.22360679774997902
answer_relevancy,0.46094186469093434,0.43578061913513194
context_precision,0.8571428570571429,0.37796447297143076
context_recall,0.38095238095238093,0.4483951394230329
