Metric,Average,Std
faithfulness,0.7,0.4472135954999579
answer_relevancy,0.5686413426610955,0.3955460848792115
context_precision,0.7142857142142857,0.4879500364254716
context_recall,0.4523809523809524,0.4162696521251859
