1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Brunson;NYK;28;65;40;25;35,4;1690;585;1203;48,8;150;397;38,3;371;449;82,1;26;163;189;475;163;59;7;137;2665;14;0;2,2;118,3;115,7;2,6;31,8;2,9;23,5;1,2;7,2;4,2;8,1;55,1;60,5;28,9;97,79;13,8;4697;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Durant;PHX;36;62;33;29;36,5;1649;589;1122;52,7;161;372;43;304;360;83,9;25;353;372;260;192;50;74;105;2678;5;0;-0,6;116,5;117,4;-1;18,8;1,38;15,2;1,1;14,7;8,4;11;59,8;64,2;28,3;99,49;14,2;4697;;;;;;;;;;;;;;;;;;;;;;;;;
Jaren Jackson Jr,;MEM;25;74;42;32;29,8;1643;592;1214;48,8;148;392;37,5;311;400;78,1;89;326;414;148;155;89;111;259;2827;6;0;4,5;115,2;108,8;6,4;10,2;0,97;8,8;3,8;13,4;8,7;9,1;54,8;59,1;27,4;105,56;12,4;4863;;;;;;;;;;;;;;;;;;;;;;;;;
Pascal Siakam;IND;31;78;47;31;32,7;1576;616;1186;51,9;125;328;38,9;226;304;73,4;133;406;538;265;109;70;39;187;2847;11;0;4;114,5;108,9;5,5;15,5;2,41;15,6;5,3;15,4;10,4;6,5;57,2;59,9;23,7;101,43;13;5390;;;;;;;;;;;;;;;;;;;;;;;;;
Darius Garland;CLE;25;75;60;15;30,7;1545;555;1178;47,2;210;533;40,1;225;255;87,8;45;165;218;503;188;90;8;143;2678;7;0;6,7;123,2;113,4;9,9;30,9;2,68;25,6;2,1;6,8;4,5;9,6;56,2;60;26,5;101,32;12,6;4865;;;;;;;;;;;;;;;;;;;;;;;;;
Coby White;CHI;25;74;35;39;33,1;1510;511;1117;45,3;215;585;37;274;303;90,2;22;252;274;333;178;67;15;155;2412;2;0;-1,9;111,5;113,9;-2,5;19,7;1,86;18,8;1;9,5;5,3;10,1;55;60,1;23,7;105,37;10,3;5375;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Williams;OKC;24;69;55;14;32,4;1490;566;1166;48,4;124;338;36,5;235;297;78,9;62;311;366;352;152;110;48;159;2788;3;0;6,6;116,7;106,5;10,2;23,4;2,37;19,7;2,6;13,1;7,9;8,3;53,7;57,3;27;102,44;13,8;4760;;;;;;;;;;;;;;;;;;;;;;;;;
Austin Reaves;LAL;27;73;46;27;34,9;1475;475;1037;46;197;533;37,7;321;365;87,7;58;270;329;423;175;80;22;153;2635;9;1;2,7;117,1;113,3;3,8;24,1;2,38;23,6;2,5;10,1;6,5;9,9;55,6;61,6;23;99,86;11,8;5303;;;;;;;;;;;;;;;;;;;;;;;;;
De'Aaron Fox;SAS;27;62;27;35;36,1;1457;539;1166;46,3;118;378;31;260;316;82,7;56;242;298;391;174;93;25;161;2579;9;0;-1,1;113,7;114,9;-1,2;26,2;2,25;21;2,3;10,6;6,4;9,3;51,4;56;27,4;102,22;11,9;4768;;;;;;;;;;;;;;;;;;;;;;;;;
Alperen Sengun;HOU;22;76;52;24;31,5;1452;570;1140;49,6;23;91;23,3;296;426;69,2;258;524;783;372;198;84;61;213;3192;45;4;5,4;114,9;107,4;7,6;23,8;1,92;19,6;9,9;21;15,3;10,2;50,5;54,5;25,9;99,47;15,3;4978;;;;;;;;;;;;;;;;;;;;;;;;;
Franz Wagner;ORL;23;60;33;27;33,7;1452;540;1164;46,3;102;354;29,5;270;312;87,1;54;288;342;282;138;78;24;150;2436;3;0;4,1;111,8;105,8;6;24,7;2,06;16,5;2,7;14,6;8,5;8;50,7;55,8;30,6;97,65;15,3;4116;;;;;;;;;;;;;;;;;;;;;;;;;
Damian Lillard;MIL;34;58;32;26;36,1;1444;447;992;44,8;197;522;37,6;360;394;92,1;29;244;273;412;162;70;12;99;2465;14;2;0,9;115,3;114,6;0,7;29,9;2,53;23,8;1,4;10,8;6,3;9,4;54,7;62,1;26,9;100,86;14,4;4407;;;;;;;;;;;;;;;;;;;;;;;;;
Mikal Bridges;NYK;28;82;51;31;37;1443;590;1181;50;164;459;35,4;98;115;81,4;74;189;262;303;131;74;41;123;2435;1;0;4,1;118,4;112,9;5,6;14,1;2,32;18,3;2,4;6,3;4,3;7,9;57;58,5;19,2;98,1;9;6200;;;;;;;;;;;;;;;;;;;;;;;;;
Jamal Murray;DEN;28;67;41;26;36,1;1434;529;1119;47,4;154;395;39,3;221;248;88,6;47;214;261;402;141;94;34;127;2586;5;0;4,9;122;115,5;6,5;22,3;2,92;22,9;1,9;8,4;5,3;7,8;54,3;58,4;23,5;100,72;11,1;5075;;;;;;;;;;;;;;;;;;;;;;;;;
Bam Adebayo;MIA;27;78;36;42;34,3;1412;538;1115;48,5;78;218;35,7;250;328;76,5;187;562;749;335;164;101;55;164;3104;38;1;0,3;110,9;110,8;0,1;20,4;2,09;19,2;6,9;21,4;14,1;9,2;52,1;56,1;23,2;97,02;13,7;5414;;;;;;;;;;;;;;;;;;;;;;;;;
Luka Dončić;LAL;26;50;31;19;35,4;1410;460;1025;45;175;480;36,8;310;395;78,2;40;370;410;385;180;90;20;125;2625;21;5;6,9;119,6;110,5;9,1;34,2;2,14;21,8;2,3;19,8;11,2;10,2;53,6;58,7;32,8;100,22;17;3696;;;;;;;;;;;;;;;;;;;;;;;;;
Michael Porter Jr,;DEN;26;77;47;30;33,7;1401;531;1047;50,4;193;493;39,5;146;193;76,8;139;400;539;162;108;46;39;154;2456;15;0;3,4;119,8;115,4;4,4;8,4;1,59;11,8;5,5;14,6;10,3;7,4;59,6;61,7;19,7;101,52;10,1;5494;;;;;;;;;;;;;;;;;;;;;;;;;
Jaylen Brown;BOS;28;63;46;17;34,3;1399;517;1115;46,3;113;359;32,4;246;321;76,4;82;284;365;284;164;76;19;151;2381;5;0;6,4;121,1;111,7;9,5;20,4;1,77;16,8;3,7;12,6;8,2;9,5;51,5;55,5;28,2;98,57;11,4;4424;;;;;;;;;;;;;;;;;;;;;;;;;
