1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Wiggins;MIA;30;60;27;33;30,7;1080;378;840;44,8;132;348;37,4;198;258;76,3;90;180;270;156;102;60;48;102;1866;3;0;-1,7;109,4;111,7;-2,3;13,7;1,6;13,1;4,5;9,5;6,9;8,2;52,6;56,6;23,8;99,96;10,5;3831;;;;;;;;;;;;;;;;;;;;;;;;;
Dyson Daniels;ATL;22;76;37;39;33,8;1072;456;920;49,3;84;236;34;84;137;59,3;122;327;448;334;152;228;53;175;2812;9;0;-0,9;113,3;114,2;-0,9;17,4;2,15;22,6;4,6;12,7;8,5;10,5;53,6;54,5;17,8;104,17;9,9;5574;;;;;;;;;;;;;;;;;;;;;;;;;
Cameron Johnson;BKN;29;57;21;36;31,6;1072;353;747;47,5;160;410;39;200;222;89,3;51;194;245;194;97;51;23;103;1790;2;0;-3,5;110,9;116,7;-5,8;17,9;1,96;17,2;3;11,3;7;8,8;58,2;63,2;22,4;97,41;12,4;3657;;;;;;;;;;;;;;;;;;;;;;;;;
Dillon Brooks;HOU;29;75;49;26;31,8;1050;383;893;42,9;188;473;39,7;98;120;81,8;75;203;278;128;75;60;15;240;1725;0;0;2,8;113,5;108,8;4,7;7,6;1,68;11,1;2,8;8,1;5,4;6,6;53,3;55,5;17,6;98,94;6,7;4913;;;;;;;;;;;;;;;;;;;;;;;;;
Josh Hart;NYK;30;77;48;29;37,6;1047;400;770;52,5;85;254;33,3;162;208;77,6;162;578;739;454;162;116;31;200;2895;34;9;2,6;117,9;114,3;3,6;20,6;2,87;30,8;5,7;20,3;13;10,8;57,9;61,1;15,1;97,79;11,9;5898;;;;;;;;;;;;;;;;;;;;;;;;;
Devin Vassell;SAS;24;64;24;40;31;1043;397;890;44,3;160;429;36,8;96;122;79,2;32;224;256;186;90;83;32;109;1882;2;0;-4,1;111,9;118,1;-6,2;13,9;2,08;15,2;1,6;10,7;6,2;7,3;53,2;55,3;21,7;100,8;9,2;4163;;;;;;;;;;;;;;;;;;;;;;;;;
Brook Lopez;MIL;37;80;47;33;31,8;1040;392;776;50,9;136;376;37,3;112;136;82,6;112;288;400;144;88;48;152;168;2248;4;0;1,7;114,8;112,7;2,2;7,8;1,7;13,5;4,6;10,7;7,8;7,9;59,9;62,4;15,7;100,24;8,7;5325;;;;;;;;;;;;;;;;;;;;;;;;;
Josh Giddey;CHI;22;70;33;37;30,2;1022;371;798;46,5;105;280;37,8;175;224;78,1;126;441;567;504;203;84;42;119;2639;30;7;-1;113,1;114,4;-1,4;32,2;2,49;31,4;5,9;19,2;12,7;12,6;53,1;57;21,4;104,47;13;4605;;;;;;;;;;;;;;;;;;;;;;;;;
Harrison Barnes;SAS;33;82;34;48;27,2;1009;344;681;50,8;156;361;43,3;164;197;80,9;98;213;312;139;49;41;16;74;1697;1;0;-0,3;114,5;115,6;-1,2;8,5;2,72;14,2;4,2;9,1;6,7;5,2;62,2;65,6;15,7;100,08;9,2;4662;;;;;;;;;;;;;;;;;;;;;;;;;
Klay Thompson;DAL;35;72;33;39;27,3;1008;360;878;41,2;216;554;39,1;65;72;90,5;43;202;245;144;86;50;29;79;1670;0;0;-1,1;112,8;115,2;-2,4;10,4;1,65;12,7;2,2;9,7;6;7,7;53,5;55,2;21,4;100,53;8,3;4123;;;;;;;;;;;;;;;;;;;;;;;;;
Tobias Harris;DET;32;73;40;33;31,6;1000;387;803;47,7;88;263;34,5;146;168;86,1;66;365;431;161;88;73;58;139;2073;5;0;2,6;114,7;110,8;3,9;9,5;1,91;14,4;2,8;15,5;9,2;7,6;53,4;57,1;17,3;100,89;10;4845;;;;;;;;;;;;;;;;;;;;;;;;;
Jaden McDaniels;MIN;24;82;49;33;31,9;1000;402;836;47,7;98;303;33;107;131;81,3;131;344;467;164;98;107;74;221;2263;10;0;2,1;113,9;109,9;4;9,1;1,72;14,2;4,8;12,6;8,7;8,3;53,7;56,2;16;98,07;8,6;5323;;;;;;;;;;;;;;;;;;;;;;;;;
Russell Westbrook;DEN;36;75;43;32;27,9;998;375;833;44,9;98;293;32,3;158;233;66,1;105;270;368;458;240;105;38;188;2310;13;4;-0,3;115,7;116,2;-0,6;28,9;1,89;27,9;5;11,9;8,6;14,8;50,5;53,2;23;103,3;9,3;4504;;;;;;;;;;;;;;;;;;;;;;;;;
Onyeka Okongwu;ATL;24;74;35;39;27,9;992;385;681;56,7;44;148;32,4;163;215;75,9;222;437;659;170;89;67;67;192;2353;28;0;0,5;114,9;113,7;1,1;11,3;1,87;16,2;10,3;21,3;15,7;8,7;60,2;63,4;16,9;104,52;12,2;4489;;;;;;;;;;;;;;;;;;;;;;;;;
Dennis Schröder;DET;31;75;37;38;28,1;983;338;825;40,6;128;368;34,2;180;218;83,8;30;173;195;405;143;68;15;180;1913;7;0;-1;111,8;112,8;-0,9;28,7;2,85;27,6;1,2;8;4,6;9,7;48,3;53,1;21,1;100,49;9,1;4393;;;;;;;;;;;;;;;;;;;;;;;;;
Keldon Johnson;SAS;25;77;31;46;23,9;978;370;770;48,2;85;277;31,8;146;193;77,3;116;262;370;123;77;46;23;116;1748;3;0;-2,8;110,1;115,9;-5,8;10,5;1,62;11,9;5,7;13,6;9,6;7,3;53,8;57,2;20,7;102,06;10,3;3912;;;;;;;;;;;;;;;;;;;;;;;;;
Amen Thompson;HOU;22;69;43;26;32,3;973;386;697;55,7;28;90;27,5;166;248;68,4;193;373;566;262;138;97;90;166;2463;21;3;3,9;114,2;107,9;6,3;16,7;1,92;21,9;7,8;15,9;11,8;11,4;57,5;60,2;17,2;100;12,9;4626;;;;;;;;;;;;;;;;;;;;;;;;;
Jimmy Butler III;GSW;35;55;36;19;31,7;963;303;600;50,4;33;105;30,8;330;391;84,2;127;171;297;297;72;77;17;50;1975;6;3;4,5;115,9;109,6;6,3;26;4,03;26,2;7;10,1;8,5;6,5;53,1;62,6;20,3;98,95;14,5;3608;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Kuzma;MIL;29;65;25;40;29,8;962;371;845;43,6;98;312;30,7;130;202;63,4;52;319;371;150;143;39;20;117;1658;6;0;-6,4;105,8;116,1;-10,3;12,3;1,04;12,3;2,7;15,5;9,1;11,8;49,3;51,4;23,3;102,96;8;4158;;;;;;;;;;;;;;;;;;;;;;;;;
Zaccharie Risacher;ATL;20;75;38;37;24,6;945;360;780;45,8;120;345;35,5;105;150;71,1;83;180;270;90;90;53;38;150;1575;1;0;-1,6;112,3;115;-2,7;6,8;1;9;4,4;9,9;7,1;9;53,7;55,8;20,3;104,57;7,1;4011;;;;;;;;;;;;;;;;;;;;;;;;;
Keegan Murray;SAC;24;76;36;40;34,3;942;365;821;44,4;152;448;34,3;61;68;83,3;144;365;509;106;61;61;68;182;2044;11;0;0,6;114,8;113,4;1,5;5,5;1,82;10,7;5,6;13,4;9,5;5,9;53,8;55,3;14,8;100,09;7,5;5428;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Duren;DET;21;78;43;35;26,1;920;374;546;69,2;0;0;0;164;242;66,9;281;530;803;211;133;55;86;250;2496;41;0;0,5;115,5;114;1,5;14,1;1,54;21;13,7;25,9;19,9;13,6;69,2;70,3;16,1;101,29;14;4278;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Wiggins;OKC;26;76;62;14;22,9;912;357;730;48,8;129;342;38,3;76;91;83,1;84;213;296;137;68;61;15;99;1634;2;0;6,8;120,7;106,6;14,2;10,2;1,94;13,8;4,6;11,3;8,1;7,1;57,7;59,6;20;101,91;10,5;3698;;;;;;;;;;;;;;;;;;;;;;;;;
Naji Marshall;DAL;27;69;32;37;27,8;911;359;711;50,8;62;221;27,5;131;159;81,3;76;255;331;207;110;69;14;110;1753;6;0;-2;111,5;114,7;-3,2;16,1;1,86;18,9;4;12,5;8,4;10,2;55,1;58,4;19,7;101,27;10,5;4046;;;;;;;;;;;;;;;;;;;;;;;;;
Buddy Hield;GSW;32;82;48;34;22,7;910;328;787;41,7;205;549;37;49;66;82,8;49;213;262;131;90;66;25;131;1615;0;0;1,7;112,3;110,1;2,2;10,6;1,47;13;2,5;11,1;6,6;8,8;54,6;56;19,6;100,82;8,5;3937;;;;;;;;;;;;;;;;;;;;;;;;;
Kelly Oubre Jr,;PHI;29;60;21;39;34,6;906;348;744;47;72;240;29,3;138;186;75,1;96;270;366;108;78;90;30;180;1794;10;0;-4,3;110,7;116,4;-5,7;7,9;1,35;10,7;4,6;14;9,1;8;51,8;55,1;18,6;98,68;8,4;4266;;;;;;;;;;;;;;;;;;;;;;;;;
Bradley Beal;PHX;31;53;22;31;32,1;901;345;694;49,7;101;265;38,6;111;138;80,3;32;143;175;196;101;58;27;138;1564;1;0;-5,2;110,6;118,6;-8;17,7;1,97;18,6;2,1;8,3;5,4;9,4;57,1;59,8;21,9;100,02;9,3;3552;;;;;;;;;;;;;;;;;;;;;;;;;
Lauri Markkanen;UTA;28;47;9;38;31,4;893;296;700;42,3;136;400;34,6;160;183;87,6;71;207;277;71;66;33;19;80;1415;5;0;-4;111,4;117,5;-6,1;7,4;1,06;7,7;4,6;13,4;9;7,2;52,1;57,1;23,1;101,64;10,3;3127;;;;;;;;;;;;;;;;;;;;;;;;;
Toumani Camara;POR;25;78;33;45;32,7;881;328;718;45,8;133;359;37,5;94;125;72,2;172;281;452;172;109;117;47;226;2075;4;0;-1,5;111,5;113,3;-1,8;9,6;1,61;16,6;6,3;11;8,6;10,3;55,2;57,2;14,3;99,38;7,6;5267;;;;;;;;;;;;;;;;;;;;;;;;;
Ty Jerome;CLE;27;70;55;15;19,9;875;322;616;51,6;112;252;43,9;126;147;87,2;49;126;175;238;91;77;0;105;1589;0;0;4,3;120,3;110,4;9,9;24,1;2,58;23,5;3,6;8,3;6;9,1;60,6;64,3;22,9;101,92;13,4;2960;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Sarr;WAS;20;67;13;54;27,1;871;328;831;39,4;107;342;30,8;114;168;67,9;127;308;436;161;114;47;101;147;1956;10;0;-8,1;102,7;116,4;-13,7;13,9;1,41;13,7;6;15,8;10,8;9,7;45,7;48,2;23;104,3;8,4;3939;;;;;;;;;;;;;;;;;;;;;;;;;
Spencer Dinwiddie;DAL;32;79;37;42;27;869;284;679;41,6;111;324;33,4;198;245;80,2;16;190;205;348;103;71;16;119;1809;5;0;-2,8;110,1;115,1;-5;22,8;3,42;28,3;0,8;8,6;4,8;8,3;49,6;55,3;17,5;101,4;8,9;4515;;;;;;;;;;;;;;;;;;;;;;;;;
Rudy Gobert;MIN;32;72;43;29;33,2;864;338;511;66,9;0;0;0;187;274;67,4;266;518;785;130;86;58;101;180;2390;36;0;4,5;114,3;107,6;6,7;7,5;1,43;14,9;11,1;21;16,1;10,5;66,9;68,7;12,9;97,63;12,6;4858;;;;;;;;;;;;;;;;;;;;;;;;;
Tim Hardaway Jr,;DET;33;77;41;36;28;847;277;678;40,6;169;454;36,8;123;146;85,5;15;162;185;123;46;39;8;92;1332;0;0;0,3;113,8;114,2;-0,5;7,4;2,56;13,6;0,8;7,5;4,2;5,3;52,9;56,7;15,1;100,66;6,6;4535;;;;;;;;;;;;;;;;;;;;;;;;;
Fred VanVleet;HOU;31;60;41;19;35,2;846;288;762;37,8;162;462;34,5;114;138;81;30;192;222;336;90;96;24;138;1878;4;0;4,4;115;108,8;6,2;21,7;3,83;27;1,4;8,9;4,9;7,1;48,3;51,5;17,6;98,18;9,3;4316;;;;;;;;;;;;;;;;;;;;;;;;;
Jonas Valančiūnas;SAC;33;81;23;58;18,8;842;348;624;55;8;41;21,6;146;162;87,9;186;437;624;162;122;41;49;178;1968;21;0;-3,8;109,2;118,8;-9,6;17,1;1,37;16,6;12,2;28,6;20,3;12,2;55,7;60,2;22,2;101,28;14,7;3217;;;;;;;;;;;;;;;;;;;;;;;;;
P,J, Washington;DAL;26;57;31;26;32,2;838;302;667;45,3;91;239;38,1;143;200;72,2;80;359;445;131;120;63;63;131;1813;14;0;0,9;114,2;113,2;1,1;9,8;1,11;13,1;4,4;18,3;11,5;11,8;52,1;55,6;19,8;101,66;9,7;3889;;;;;;;;;;;;;;;;;;;;;;;;;
Scoot Henderson;POR;21;66;30;36;26,7;838;284;686;41,9;106;297;35,4;158;205;76,7;53;145;198;337;178;66;13;178;1643;2;0;-0,6;112,5;113,7;-1,3;27,4;1,89;25,9;2,8;8,3;5,4;13,7;49,6;54;22;100,99;8,4;3705;;;;;;;;;;;;;;;;;;;;;;;;;
Keon Johnson;BKN;23;79;25;54;24,4;837;300;782;38,9;126;403;31,4;111;142;77;63;237;300;174;119;79;32;205;1675;0;0;-5,4;104,1;114,4;-10,3;14,8;1,51;15,5;3,1;12,5;7,6;10,3;47;49,9;21,2;98,77;7;3954;;;;;;;;;;;;;;;;;;;;;;;;;
Obi Toppin;IND;27;79;48;31;19,6;830;316;600;52,9;111;300;36,5;87;111;78,1;55;261;316;126;71;47;32;111;1564;2;0;-1;113,6;116,1;-2,6;11,6;1,88;15,2;3,6;16,7;10,1;8,1;62,1;64,2;19,1;103,97;11,5;3350;;;;;;;;;;;;;;;;;;;;;;;;;
Jakob Poeltl;TOR;29;57;21;36;29,6;827;365;581;62,7;0;6;33,3;97;143;67,4;188;359;547;160;108;68;68;177;2018;23;0;-0,6;111,2;111,9;-0,7;13,6;1,42;17,4;11;20,6;15,8;12,2;62,8;64,1;18,4;101,44;13,3;3557;;;;;;;;;;;;;;;;;;;;;;;;;
Tyus Jones;PHX;29;81;36;45;26,8;826;308;680;44,8;162;405;41,4;49;57;89,5;41;154;194;429;89;73;8;65;1847;6;0;-1,1;113,6;116,1;-2,5;27,6;4,71;34,9;1,9;6,9;4,5;7,4;57;58,5;16;99,19;9,9;4500;;;;;;;;;;;;;;;;;;;;;;;;;
Jaylen Wells;MEM;21;79;47;32;25,9;822;284;679;42,5;134;395;35,2;111;134;82,2;87;182;269;134;71;47;8;142;1438;1;0;2,4;116,7;111,9;4,7;8,2;1,96;14,4;4;8,3;6,1;7,4;52,7;56;15,6;104,64;6,5;4444;;;;;;;;;;;;;;;;;;;;;;;;;
Gary Trent Jr,;MIL;26;74;44;30;25,6;821;281;659;43,1;178;437;41,6;81;89;84,8;22;148;170;89;44;74;7;126;1339;0;0;0,9;115,9;114;1,9;6,4;2,07;10,6;1,1;7,4;4,4;5,1;56,8;59,1;16,8;100,75;7;3972;;;;;;;;;;;;;;;;;;;;;;;;;
Kristaps Porziņģis;BOS;29;42;30;12;28,8;819;277;575;48,3;105;252;41,2;160;197;80,9;67;214;286;88;55;29;63;118;1520;6;0;4,1;116,2;110,3;5,8;11,3;1,64;10,8;5,4;16,3;11;6,6;57,2;61,8;25,3;99,83;13,2;2528;;;;;;;;;;;;;;;;;;;;;;;;;
Duncan Robinson;MIA;31;74;30;44;24,1;814;289;666;43,7;192;481;39,3;44;52;88,7;15;148;170;178;89;37;7;133;1332;0;0;0,9;110,1;109,9;0,2;14,8;2,05;18,6;1;8,4;4,7;9,1;58,1;59,5;18,7;97,68;7,8;3661;;;;;;;;;;;;;;;;;;;;;;;;;
Santi Aldama;MEM;24;65;38;27;25,5;813;312;650;48,3;117;325;36,8;65;91;69,1;91;325;416;189;72;52;26;78;1762;10;0;2,3;116,1;112,6;3,5;14,9;2,65;19,9;5,2;18,1;11,6;7,5;57,6;58,8;17,9;105,41;12,1;3654;;;;;;;;;;;;;;;;;;;;;;;;;
Julian Champagnie;SAS;23;82;34;48;23,6;812;279;664;41,5;180;484;37,1;82;90;90,4;66;254;320;115;74;57;33;115;1574;0;0;-0,8;112,3;114,5;-2,1;7,8;1,5;12,6;3,2;12,1;7,7;8,4;54,9;57,7;16,4;102,25;7,9;4125;;;;;;;;;;;;;;;;;;;;;;;;;
Bub Carrington;WAS;19;82;18;64;30;804;303;746;40,1;139;410;33,9;66;82;81,2;33;312;344;361;139;57;25;189;1845;5;0;-9,7;102,8;118;-15,2;21,3;2,58;28,3;1,2;11,7;6,4;11;49,3;51,4;15,4;103,06;7,1;5279;;;;;;;;;;;;;;;;;;;;;;;;;
Kawhi Leonard;LAC;33;37;26;11;31,9;796;311;622;49,8;78;189;41,1;96;122;81;33;185;218;115;70;59;19;56;1388;5;0;8;120,3;107,9;12,4;14,7;1,61;13,5;3,3;15,8;9,8;8,4;56;58,9;28;97,26;13,4;2391;;;;;;;;;;;;;;;;;;;;;;;;;
Georges Niang;ATL;31;79;55;24;21,5;782;284;616;46,1;166;411;40,6;47;55;79,3;47;221;269;111;79;32;16;198;1319;1;0;2,5;118,7;114,1;4,7;8,7;1,35;13,2;2,7;12,6;7,7;9,8;59,5;60,7;17,7;102,45;7,1;3633;;;;;;;;;;;;;;;;;;;;;;;;;
Scotty Pippen Jr,;MEM;24;79;46;33;21,3;782;284;593;48;87;221;39,7;119;174;71,3;63;198;261;348;134;103;32;205;1872;9;1;0,6;111;109,7;1,3;28,3;2,51;30,3;3,5;10,5;7;12;55,3;58,2;18,8;105,6;10,6;3700;;;;;;;;;;;;;;;;;;;;;;;;;
Derrick Jones Jr,;LAC;28;77;48;29;24,3;778;308;585;52,6;77;216;35,6;85;116;70,3;92;169;262;62;69;77;31;154;1455;0;0;3,2;115,5;108,7;6,7;4,4;0,91;7,8;5,1;9,2;7,2;8,6;59,3;60,9;16;99,72;7,6;3886;;;;;;;;;;;;;;;;;;;;;;;;;
Gradey Dick;TOR;21;54;15;39;29,4;778;265;648;41;113;324;35;135;157;85,8;43;151;194;97;81;49;11;119;1247;0;0;-3,9;110,3;116,1;-5,8;8,7;1,18;10,9;2,7;9,2;5,9;9,3;49,8;54,3;20,9;101,36;7,1;3345;;;;;;;;;;;;;;;;;;;;;;;;;
Caris LeVert;ATL;30;64;46;18;24,9;774;282;602;46,7;109;282;37,3;109;154;71;38;160;205;218;77;58;32;96;1536;1;0;4;120,5;113,4;7,2;17,8;2,83;22,5;2,6;9,6;6,2;7,9;55,6;58,2;19,1;103,21;9,4;3437;;;;;;;;;;;;;;;;;;;;;;;;;
Brice Sensabaugh;UTA;21;71;14;57;20,2;774;277;596;45,9;156;369;42,2;64;71;89;43;170;213;107;107;43;7;114;1243;0;0;-4;109,9;119,5;-9,6;11,7;1,03;13;2,8;11;6,9;12,7;59;61,2;20,8;103,21;8,7;3084;;;;;;;;;;;;;;;;;;;;;;;;;
Rui Hachimura;LAL;27;59;37;22;31,7;773;295;578;50,9;100;248;41,3;89;112;77;77;218;295;83;47;47;24;106;1416;1;0;2,7;114,8;110,9;3,9;6,3;1,69;10,9;4,4;11,1;7,9;6,5;59,7;61,9;15,6;99,44;8,6;3875;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Porter Jr,;MIL;25;75;43;32;19,8;773;293;653;44,9;53;180;31,1;128;173;76,9;45;233;278;255;135;83;15;120;1635;2;1;0,4;109,1;108;1,1;27,6;1,88;22,9;2,9;14,8;9,2;12,2;49,2;53,1;24,8;100,63;11,9;3104;;;;;;;;;;;;;;;;;;;;;;;;;
Nickeil Alexander-Walker;MIN;26;82;49;33;25,3;771;271;615;43,8;139;369;38,1;90;115;78;57;213;262;221;98;49;33;139;1583;1;0;3,3;115,1;108,5;6,6;14,9;2,25;22,7;2,6;9,8;6,2;10,1;55,3;57,9;15,5;99,57;8,1;4294;;;;;;;;;;;;;;;;;;;;;;;;;
Guerschon Yabusele;PHI;29;70;23;47;27,1;770;280;560;50,1;105;273;38;98;140;72,5;133;259;392;147;84;56;21;161;1624;3;0;-1,7;113,5;116,7;-3,2;11,4;1,7;17,2;7;14,9;10,8;10,1;59,3;61,6;16,3;97,28;9,2;3842;;;;;;;;;;;;;;;;;;;;;;;;;
John Collins;UTA;27;40;12;28;30,5;760;280;532;52,7;60;148;39,9;140;164;84,8;88;240;328;80;104;40;40;116;1404;13;0;-0,4;112,4;113,3;-0,9;10,5;0,78;10,2;7,3;17,9;12,8;13,2;58,3;62,8;23,4;101,72;12,9;2590;;;;;;;;;;;;;;;;;;;;;;;;;
Isaiah Joe;OKC;25;74;63;11;21,7;755;259;585;44;192;466;41,2;44;59;82,1;44;155;192;118;37;44;7;111;1302;0;0;7,4;119,9;104,1;15,8;9,6;3,13;15,6;2,5;8,9;5,8;5;60,4;61,7;16,6;102,23;8,9;3420;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Wilson;BKN;24;79;25;54;25,7;751;245;616;39,7;119;363;33,7;134;166;81,8;71;198;269;142;79;40;8;166;1343;0;0;-3,3;106,9;113,7;-6,7;11;1,84;15,9;3,5;10,2;6,7;8,6;49,5;54,1;16,1;97,23;6,5;4122;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Gordon;DEN;29;51;33;18;28,4;750;265;495;53,1;77;173;43,6;143;179;81;82;168;245;163;71;26;15;82;1326;3;0;5,9;122,5;113;9,5;14,3;2,25;20,1;6;10,9;8,6;9;60,7;65;18,6;101,64;10,4;3068;;;;;;;;;;;;;;;;;;;;;;;;;
Max Christie;DAL;22;78;40;38;27,3;749;250;593;42,7;117;312;36,6;133;148;85,5;39;218;257;148;86;62;31;117;1474;0;0;-1,1;112,6;114,3;-1,7;9,3;1,66;16,4;1,9;10,2;6,1;9,9;52,5;57;15;100,27;6,9;4440;;;;;;;;;;;;;;;;;;;;;;;;;
Brandin Podziemski;GSW;22;64;38;26;26,8;749;282;627;44,5;115;307;37,2;70;96;75,8;64;262;326;218;77;70;13;96;1638;2;0;4,1;111,6;105,1;6,6;19,4;2,93;22,8;3,4;15,1;8,9;7,8;53,7;55,7;17,7;100,36;11,4;3600;;;;;;;;;;;;;;;;;;;;;;;;;
Zion Williamson;NOP;24;30;10;20;28,6;738;288;507;56,7;3;12;23,1;159;240;65,6;75;141;216;159;90;36;27;81;1338;8;2;-1,4;113,7;115,5;-1,8;32,5;1,77;18,5;8;15,2;11,6;10,5;57;60;32,5;103,3;16,7;1841;;;;;;;;;;;;;;;;;;;;;;;;;
Anthony Black;ORL;21;78;39;39;24,2;733;265;616;42,3;62;195;31,8;148;195;76,1;55;179;226;242;140;86;47;164;1638;1;0;-0,5;106,2;107,1;-0,9;20,1;1,73;22,2;2,6;10;6,1;12,8;47,3;52,1;19;97,83;8,4;3844;;;;;;;;;;;;;;;;;;;;;;;;;
D'Angelo Russell;BKN;29;58;26;32;25,5;731;249;638;39;110;360;31,4;122;145;83,4;17;139;162;296;110;58;23;116;1502;4;0;0;110,1;111,6;-1,5;30,2;2,75;26,9;1,3;9,3;5,3;9,8;47,9;52,2;22,8;99,59;9,8;3092;;;;;;;;;;;;;;;;;;;;;;;;;
Bilal Coulibaly;WAS;20;59;13;46;33;726;266;625;42,1;65;224;28,1;136;183;74,6;89;201;295;201;124;77;41;142;1611;3;1;-9,9;104,5;118,3;-13,8;15;1,59;19,4;4,3;9,8;7;12,2;47,2;51,5;17,5;103,22;7;4183;;;;;;;;;;;;;;;;;;;;;;;;;
Moses Moody;GSW;23;74;45;29;22,3;725;244;570;43,3;126;340;37,4;104;133;79,7;52;141;192;96;52;59;30;118;1310;0;0;1,8;113,2;108,9;4,3;8,4;1,78;12,4;2,9;8,4;5,6;7;54,4;57,8;17;100,74;7,6;3454;;;;;;;;;;;;;;;;;;;;;;;;;
Donte DiVincenzo;MIN;28;62;37;25;25,9;725;248;595;42,2;174;440;39,7;50;62;77,8;31;198;229;223;99;74;19;112;1507;1;0;2,8;114,2;109,1;5,1;20,3;2,27;23,8;2;11,5;6,8;10,5;56,8;58,2;18,8;100,17;10;3352;;;;;;;;;;;;;;;;;;;;;;;;;
Chris Paul;SAS;40;82;34;48;28;722;246;582;42,7;139;369;37,7;82;90;92,4;33;262;295;607;131;107;25;148;2230;12;0;0;114,2;115;-0,8;34,2;4,69;45;1,4;11;6,2;9,6;54,7;58;13,7;100,48;10,2;4817;;;;;;;;;;;;;;;;;;;;;;;;;
Nic Claxton;BKN;26;70;20;50;26,9;721;322;567;56,3;7;21;23,8;77;154;51,3;154;357;518;154;84;63;98;147;1974;13;0;-7,1;103,6;116,2;-12,6;14;1,8;17,9;8;19,8;13,7;9,9;56,8;56,9;16,6;97,38;11,5;3811;;;;;;;;;;;;;;;;;;;;;;;;;
Jonathan Kuminga;GSW;22;47;28;19;24,3;719;259;569;45,4;47;150;30,5;155;235;66,8;56;160;216;103;71;38;19;89;1241;2;0;0,2;110;108,9;1;15,1;1,46;12,2;4,5;13,4;8,8;8,3;49,5;53,5;27,1;100,21;11;2381;;;;;;;;;;;;;;;;;;;;;;;;;
T,J, McConnell;IND;33;79;49;30;17,9;719;324;624;51,9;16;47;30,6;55;79;74;47;150;190;348;111;87;24;79;1683;2;0;-0,7;111,1;113,8;-2,7;35,9;3,22;31,3;3,2;10,4;6,9;9,7;53,1;54,7;22,6;103,69;12,9;3069;;;;;;;;;;;;;;;;;;;;;;;;;
Luguentz Dort;OKC;26;71;57;14;29,2;717;256;596;43,5;170;412;41,2;36;43;71,7;92;206;291;114;50;78;36;206;1548;0;0;7,7;120,4;107,3;13,1;6,7;2,25;14,8;4,1;9,3;6,7;6,6;57,8;58,6;13,3;101,75;6,3;4383;;;;;;;;;;;;;;;;;;;;;;;;;
Dalton Knecht;LAL;24;78;47;31;19,2;710;257;554;46,1;125;343;37,6;62;86;76,2;39;179;218;62;39;23;8;94;1123;0;0;-0,9;112,2;114,9;-2,8;6,7;1,78;9,5;2,6;11,6;7,3;5,3;57,6;59,4;18,1;98,26;8,7;3063;;;;;;;;;;;;;;;;;;;;;;;;;
Corey Kispert;WAS;26;61;14;47;26,3;708;256;567;45,1;122;329;36,4;73;85;85,2;37;146;183;104;61;24;12;98;1135;0;0;-4,5;108,7;117,1;-8,5;9,4;1,61;13,4;2,1;8,4;5,3;8,3;55,8;58,4;16,9;102,68;7,4;3433;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Gafford;DAL;26;57;28;29;21,5;701;285;405;70,2;0;0;0;137;194;68,9;154;234;388;80;68;23;103;154;1596;8;0;0,6;114,9;113,4;1,5;9,7;1,21;12,7;12,7;16,8;14,9;10,4;70,2;71,6;18,6;101,73;14,1;2597;;;;;;;;;;;;;;;;;;;;;;;;;
Amir Coffey;LAC;27;72;41;31;24,3;698;238;511;47,1;101;245;40,9;115;130;89,1;29;130;158;79;43;43;7;122;1102;0;0;-0,9;109,1;110,6;-1,4;6,5;1,71;11,2;1,9;7,2;4,6;6,6;57;61,4;15;99,23;7,2;3606;;;;;;;;;;;;;;;;;;;;;;;;;
Jabari Smith Jr,;HOU;22;57;40;17;30,1;695;251;564;43,8;97;279;35,4;103;125;82,5;103;296;399;63;63;23;40;125;1402;8;0;4,4;113,4;106,1;7,3;4,8;0,98;8,1;5,5;16,2;10,7;8,2;52,5;56,2;16;100;9,3;3569;;;;;;;;;;;;;;;;;;;;;;;;;
Kyle Filipowski;UTA;21;72;13;59;21,1;691;259;518;50,2;79;223;35;94;144;65;115;331;439;137;101;50;22;173;1534;13;0;-5,1;107,7;118,9;-11,3;14;1,37;17;7;21,3;14;12,4;57,6;59,4;18,4;102,46;10,3;3248;;;;;;;;;;;;;;;;;;;;;;;;;
